name,route_url,crag_param_id,crag_name,sector_name,sector_url,sector_lat,sector_lon,sector_maps_url,id,genre,grade_int,project,param_id,crimpers,slopers,jugs,crack,pockets,tufas,fingery,powerful,dyno,endurance,technical,mental,roof,overhang,vertical,slab,traverse,sitstart,topslasthold,tradgear_required,dangerous,ascents_done_count,rating,page_grade_label,page_grade_int,page_ascents,page_rating,page_name
,https://thetopo.com/crags/orhem/routes/gretas-trosa,orhem,,Fissurväggen,https://thetopo.com/crags/orhem/topos/fissurvaggen,59.240836,18.163662,"https://www.google.com/maps?q=59.240836,18.163662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6C,600,6,1.0,Gretas trosa
,https://thetopo.com/crags/orhem/routes/forellfrisyren,orhem,,Fissurväggen,https://thetopo.com/crags/orhem/topos/fissurvaggen,59.240836,18.163662,"https://www.google.com/maps?q=59.240836,18.163662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6A+,450,14,1.0,Forellfrisyren
,https://thetopo.com/crags/orhem/routes/la-tour-eiffel,orhem,,Sjöväggarna,https://thetopo.com/crags/orhem/topos/sjovaggarna,59.244293,18.16083,"https://www.google.com/maps?q=59.244293,18.16083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6A,400,0,0.0,La tour Eiffel
,https://thetopo.com/crags/orhem/routes/boob-job,orhem,,Sjöväggarna,https://thetopo.com/crags/orhem/topos/sjovaggarna,59.244293,18.16083,"https://www.google.com/maps?q=59.244293,18.16083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,300,0,0.0,Boob job
,https://thetopo.com/crags/orhem/routes/brunost,orhem,,Sjöväggarna,https://thetopo.com/crags/orhem/topos/sjovaggarna,59.244293,18.16083,"https://www.google.com/maps?q=59.244293,18.16083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,300,0,0.0,Brunost
,https://thetopo.com/crags/orhem/routes/fote,orhem,,Sjöväggarna,https://thetopo.com/crags/orhem/topos/sjovaggarna,59.244293,18.16083,"https://www.google.com/maps?q=59.244293,18.16083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,300,0,0.0,Flöte
,https://thetopo.com/crags/orhem/routes/namnlos-31682,orhem,,Sjöväggarna,https://thetopo.com/crags/orhem/topos/sjovaggarna,59.244293,18.16083,"https://www.google.com/maps?q=59.244293,18.16083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6B,500,0,0.0,Namnlös
,https://thetopo.com/crags/orhem/routes/uno-31683,orhem,,Sjöväggarna,https://thetopo.com/crags/orhem/topos/sjovaggarna,59.244293,18.16083,"https://www.google.com/maps?q=59.244293,18.16083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6A,400,0,0.0,Uno
,https://thetopo.com/crags/orhem/routes/tootsie,orhem,,Sjöväggarna,https://thetopo.com/crags/orhem/topos/sjovaggarna,59.244293,18.16083,"https://www.google.com/maps?q=59.244293,18.16083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,300,0,0.0,Tootsie
,https://thetopo.com/crags/orhem/routes/take-sds,orhem,,Sjöväggarna,https://thetopo.com/crags/orhem/topos/sjovaggarna,59.244293,18.16083,"https://www.google.com/maps?q=59.244293,18.16083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,300,0,0.0,Tåke (SDS)
